"","COUNTYNAME","COUNTYCODE"
"1","Aitkin",1
"2","Anoka",2
"3","Becker",3
"4","Beltrami",4
"5","Benton",5
"6","Big Stone",6
"7","Blue Earth",7
"8","Brown",8
"9","Carlton",9
"10","Carver",10
"11","Cass",11
"12","Chippewa",12
"13","Chisago",13
"14","Clay",14
"15","Clearwater",15
"16","Cook",16
"17","Cottonwood",17
"18","Crow Wing",18
"19","Dakota",19
"20","Dodge",20
"21","Douglas",21
"22","Faribault",22
"23","Fillmore",23
"24","Freeborn",24
"25","Goodhue",25
"26","Grant",26
"27","Hennepin",27
"28","Houston",28
"29","Hubbard",29
"30","Isanti",30
"31","Itasca",31
"32","Jackson",32
"33","Kanabec",33
"34","Kandiyohi",34
"35","Kittson",35
"36","Koochiching",36
"37","Lac qui Parle",37
"38","Lake",38
"39","Lake of the Woods",39
"40","Le Sueur",40
"41","Lincoln",41
"42","Lyon",42
"43","McLeod",43
"44","Mahnomen",44
"45","Marshall",45
"46","Martin",46
"47","Meeker",47
"48","Mille Lacs",48
"49","Morrison",49
"50","Mower",50
"51","Murray",51
"52","Nicollet",52
"53","Nobles",53
"54","Norman",54
"55","Olmsted",55
"56","Otter Tail",56
"57","Pennington",57
"58","Pine",58
"59","Pipestone",59
"60","Polk",60
"61","Pope",61
"62","Ramsey",62
"63","Red Lake",63
"64","Redwood",64
"65","Renville",65
"66","Rice",66
"67","Rock",67
"68","Roseau",68
"69","St. Louis",69
"70","Scott",70
"71","Sherburne",71
"72","Sibley",72
"73","Stearns",73
"74","Steele",74
"75","Stevens",75
"76","Swift",76
"77","Todd",77
"78","Traverse",78
"79","Wabasha",79
"80","Wadena",80
"81","Waseca",81
"82","Washington",82
"83","Watonwan",83
"84","Wilkin",84
"85","Winona",85
"86","Wright",86
"87","Yellow Medicine",87
