"","CC","USSenIR_1994","USSenIR_1996","USSenIR_2000","USSenIR_2002","USSenIR_2006","USSenIR_2008","USSenIR_2012","USSenIR_2014"
"1",1,3230,131318,3357,3711,3047,3617,2810,3200
"2",2,47432,5033816,68018,78176,55399,82308,59991,57906
"3",3,6227,328545,7543,6845,6016,8437,6095,5941
"4",4,6221,393360,7902,7243,6511,9454,6710,6456
"5",5,6068,164214,7157,7193,6314,8473,6267,6565
"6",6,1454,27439,1177,1173,1049,1211,788,851
"7",7,10475,556088,12110,11615,9411,13660,9338,8194
"8",8,6459,208992,6731,6564,5292,6329,4803,4657
"9",9,4872,165649,5261,5083,4015,6099,4290,4666
"10",10,12500,467392,19959,22966,18585,26968,21378,21323
"11",11,5515,398304,6422,6720,5695,7685,5930,6246
"12",12,2949,69876,2668,2488,1988,2419,1592,2001
"13",13,6821,157212,10663,12567,9451,13768,10371,10456
"14",14,7983,557766,10293,9365,7741,13032,8064,6908
"15",15,1671,47236,2069,1790,1675,2109,1709,1536
"16",16,1142,11750,1224,1180,889,1207,820,945
"17",17,3226,87870,3049,2779,2402,2770,1985,2077
"18",18,11214,698501,13199,14222,12624,16107,12467,13715
"19",19,59256,8022232,83356,96149,67289,102701,77031,71509
"20",20,3540,72333,4098,4234,3342,4771,3627,3816
"21",21,7667,269325,8783,8639,7474,10077,7233,7853
"22",22,4420,133452,3967,3734,3044,3599,2377,2615
"23",23,4278,186147,4747,4088,3531,4772,3100,3429
"24",24,6482,283480,6660,6542,5180,6566,4406,5125
"25",25,8835,404448,10679,10791,8353,11176,8277,8315
"26",26,1647,34155,1572,1551,1195,1483,1036,1165
"27",27,185797,84841344,212718,233779,155374,237712,165612,158269
"28",28,4638,134379,5106,4234,3727,5027,3909,3523
"29",29,4269,143780,4825,4944,4562,5751,4311,4462
"30",30,5622,95220,7666,8365,6620,9564,7438,7269
"31",31,8782,601536,8710,7849,6630,9263,6967,7447
"32",32,2885,80910,2532,2356,2113,2478,1802,1892
"33",33,2681,49413,3289,3508,2794,3745,2697,2912
"34",34,8190,392262,8947,9345,7913,10246,6990,7877
"35",35,1294,46842,1119,937,693,1077,625,725
"36",36,2690,85437,3211,2735,1817,2847,1704,1936
"37",37,2011,56265,1774,1653,1455,1611,1035,1236
"38",38,2238,37145,2491,2229,1714,2432,1702,1752
"39",39,936,14546,1085,1125,815,1204,839,969
"40",40,5293,143463,5964,6152,4638,6321,4489,4568
"41",41,1730,29240,1496,1298,1092,1464,1112,1041
"42",42,5294,186285,5525,5109,4414,6089,4085,4178
"43",43,7395,191520,8228,8626,6988,9093,6617,6549
"44",44,996,20843,948,1039,721,858,531,598
"45",45,2463,151620,2482,2173,1684,2322,1448,1796
"46",46,5471,198283,5173,5024,4315,5108,3924,4188
"47",47,4934,132060,5284,5704,4638,5697,4224,4480
"48",48,4238,93750,4976,5454,4291,5852,4234,4211
"49",49,6809,331877,7489,7839,6229,7826,6027,6594
"50",50,6690,329360,6624,6122,4906,6844,4443,4571
"51",51,2438,66696,2233,2164,1804,2334,1715,1626
"52",52,6037,185535,6866,7012,5337,7237,4912,4698
"53",53,4506,185240,4384,4170,3531,4192,3024,2973
"54",54,1638,56991,1543,1286,937,1334,749,855
"55",55,22891,1703744,28300,27826,24054,35334,25721,23375
"56",56,12300,1265719,15235,14766,12041,17199,12931,11910
"57",57,2434,94554,2807,2500,1908,3239,1956,2290
"58",58,4409,180288,5494,5278,4268,5683,4269,4531
"59",59,2282,61512,2456,2309,2146,2637,2228,2119
"60",60,5853,580465,6602,5854,4857,7353,4555,4522
"61",61,2726,71910,2653,2599,2273,2749,1831,2143
"62",62,73264,14430803,82698,94582,60290,92952,58824,56010
"63",63,965,18300,896,839,657,984,527,605
"64",64,4996,194175,4252,3948,3181,3642,2741,2848
"65",65,4309,131313,3737,3533,2660,3275,2215,2556
"66",66,8583,280288,10953,11012,8461,12061,8943,8603
"67",67,2151,59340,2488,2373,2144,2656,2245,1793
"68",68,3675,146562,4113,3589,2967,4394,2835,3043
"69",69,30231,5280168,33773,29998,23281,38320,25684,26114
"70",70,13762,505263,23271,28102,22023,33839,26941,24963
"71",71,9642,251256,16476,18478,15737,22887,18290,17390
"72",72,3558,78312,3773,3900,2835,3499,2667,2995
"73",73,26257,2385467,30348,31945,26358,36224,25373,25329
"74",74,7842,193960,7932,8165,6434,8647,5716,6147
"75",75,2380,58776,2640,2625,1936,2526,1820,1878
"76",76,2166,58530,2167,1999,1661,1879,1285,1591
"77",77,5812,199690,5699,5644,4494,5536,4139,4398
"78",78,1002,18183,954,853,770,837,505,572
"79",79,4508,156060,5088,4905,3787,4959,3705,3836
"80",80,3209,81432,3388,3377,2890,3683,2753,2841
"81",81,4281,89276,4468,4369,3371,4229,2988,3017
"82",82,33741,2609712,49193,59269,42910,63804,45135,45475
"83",83,2629,53152,2390,2362,1878,2104,1388,1563
"84",84,1622,56670,1758,1555,1238,1814,1114,1147
"85",85,9113,496272,10596,9219,7493,11318,8360,6690
"86",86,14831,594928,23123,27626,23518,32999,27072,25496
"87",87,2680,77748,2401,2101,1868,2313,1558,1772
"88",89,NA,NA,NA,NA,NA,416,NA,NA
