"","CC","USSenOther_1994","USSenOther_1996","USSenOther_2000","USSenOther_2002","USSenOther_2006","USSenOther_2008","USSenOther_2012","USSenOther_2014"
"1",1,637,37882,204,328,358,1849,393,276
"2",2,9315,1577857,2699,3349,5259,31959,7757,4550
"3",3,649,40523,261,458,496,2410,798,686
"4",4,816,67140,474,423,684,2515,996,725
"5",5,839,42255,331,534,605,4249,1018,727
"6",6,175,4968,56,100,104,496,125,105
"7",7,1365,100152,771,1013,1108,6561,1999,1056
"8",8,578,33312,225,436,495,2790,632,417
"9",9,879,38332,206,436,463,2718,636,581
"10",10,1854,97216,562,727,1226,8256,1711,1191
"11",11,650,87192,320,456,479,2644,727,585
"12",12,343,11799,105,187,162,1344,286,205
"13",13,1548,48004,425,657,881,5547,1204,842
"14",14,805,50544,459,578,727,3732,1103,761
"15",15,223,6776,64,120,155,504,200,166
"16",16,172,2000,106,164,153,500,115,122
"17",17,214,9657,96,151,189,1116,298,245
"18",18,1295,123841,457,798,1114,5773,1718,1144
"19",19,10239,1910276,3093,3148,6173,35886,8337,5100
"20",20,498,10412,163,352,389,1970,491,507
"21",21,666,50225,296,496,621,3868,925,637
"22",22,462,17754,172,252,318,1595,354,314
"23",23,504,19890,209,352,445,1729,612,566
"24",24,898,37280,240,680,545,3121,724,572
"25",25,1162,79772,396,671,824,5257,1172,792
"26",26,215,5980,69,117,127,645,164,146
"27",27,36455,23762160,13570,11258,19534,90206,24133,13103
"28",28,710,15768,279,307,513,1050,906,621
"29",29,484,26180,229,273,380,1797,518,377
"30",30,969,27882,320,401,574,3821,937,646
"31",31,1681,147264,467,612,721,3435,832,748
"32",32,255,11190,92,186,214,998,326,239
"33",33,417,15624,154,222,257,1729,356,325
"34",34,795,78208,321,470,548,3531,838,628
"35",35,193,4625,47,68,54,308,75,90
"36",36,439,20724,100,175,205,788,236,307
"37",37,282,12144,72,163,137,813,184,130
"38",38,465,9595,110,206,227,918,238,217
"39",39,121,1946,45,124,89,292,106,116
"40",40,684,28159,229,427,532,3393,714,421
"41",41,195,4900,72,120,119,373,189,192
"42",42,481,26037,234,324,349,2119,638,394
"43",43,1028,46480,328,540,648,4378,943,681
"44",44,137,3059,40,83,78,325,111,120
"45",45,377,17580,57,168,156,639,165,237
"46",46,512,26011,162,301,351,1973,572,467
"47",47,619,32250,230,417,430,2936,634,542
"48",48,628,25950,210,330,466,2809,681,450
"49",49,732,67130,327,544,559,3430,853,684
"50",50,931,47426,323,587,669,3089,1036,605
"51",51,298,9464,101,153,171,596,264,303
"52",52,759,30194,335,464,552,3460,846,576
"53",53,472,23880,192,246,304,998,568,456
"54",54,219,6270,55,90,118,500,115,135
"55",55,2224,218432,1070,1624,2148,11453,3438,2328
"56",56,1148,152152,564,723,1304,4551,1433,1021
"57",57,299,10744,147,163,179,902,289,327
"58",58,772,53520,318,406,512,2646,741,534
"59",59,303,7632,130,173,172,421,271,310
"60",60,689,59075,238,300,395,1861,620,505
"61",61,424,18330,89,181,238,1216,269,206
"62",62,15709,4527973,5211,4558,9833,39161,12116,6115
"63",63,158,2560,35,69,80,340,92,85
"64",64,391,25920,145,284,270,1661,369,326
"65",65,490,58053,166,296,284,1929,362,275
"66",66,1464,65344,598,686,1008,5683,1369,845
"67",67,224,6394,123,146,200,489,298,222
"68",68,407,15951,97,184,247,825,336,279
"69",69,7143,1530780,2043,2322,2918,15274,3668,3137
"70",70,2586,124344,756,1013,1759,12145,2925,1642
"71",71,1619,70176,590,823,1134,8425,1923,1314
"72",72,401,16248,142,355,310,2053,372,386
"73",73,3062,502850,1370,2032,2261,15693,3746,2310
"74",74,1052,34866,365,541,704,4353,1028,632
"75",75,224,8352,118,141,256,837,221,156
"76",76,234,12210,96,158,177,1056,224,188
"77",77,719,46056,235,437,475,2462,545,491
"78",78,110,3135,33,69,59,396,76,79
"79",79,612,28390,226,359,411,2405,553,505
"80",80,320,14300,134,207,220,1175,291,242
"81",81,447,14608,155,461,434,2371,490,358
"82",82,6522,709128,1613,1901,3873,21669,4746,3096
"83",83,266,9438,92,226,199,1116,228,199
"84",84,177,4740,60,93,162,488,134,141
"85",85,1111,66000,879,701,1008,3164,1801,930
"86",86,3226,193952,789,1297,1798,13556,2920,1920
"87",87,233,14025,119,182,187,1076,235,164
"88",89,NA,NA,NA,NA,NA,110,NA,NA
